A,B
9292.171809,5776.466952
9262.070696,5885.891357
9266.028308,5379.246692
9323.722306,4843.683564
9501.051111,4239.462717
9738.680461,3825.225171
9992.111126,3549.766248
10144.68291,3459.285864
10169.30578,3390.2609
10125.14368,3409.597226
9998.466443,3484.653095
9742.597867,3735.350187
9380.730347,4076.746029
8964.593583,4191.604364
8650.21398,4091.411864
8517.521572,4003.10102
8639.932489,3962.850189
9299.968069,3929.843945
9889.127139,3839.510598
9980.098134,3900.218337
10000.7507,4086.929957
9859.694917,4547.010641
9496.750366,5113.042731
9173.481029,5255.938997
9122.775595,5333.456508
9020.788778,5448.350282
8977.31779,5113.297265
8999.502943,4650.734439
9156.861694,4174.689779
9555.071074,3817.958936
10073.24089,3482.94209
10351.70285,3355.482642
10410.82522,3292.433627
10493.91066,3309.76161
10487.51057,3348.062561
10399.74968,3564.676301
10247.01255,3936.518951
10149.10242,4390.393959
10086.44876,4072.462686
10127.5561,3928.680173
10341.5201,4194.903524
10790.3242,4456.029377
11084.4703,4659.081494
11007.89084,4377.893951
10843.9318,4780.600227
10512.37603,5149.943979
9981.345037,5789.262758
9630.97499,5993.269067
9291.210244,6190.975304
9282.673383,6252.437801
9322.221572,5766.172992
9455.086919,5154.333776
9710.739431,4548.91062
10194.44287,4198.54604
10816.34905,3928.416845
11008.66981,3813.439773
10683.66457,3760.631409
10045.18683,3893.115194
9436.720495,4222.748369
8825.18113,4868.994536
8279.780559,5245.667754
7818.469919,5097.327305
7415.336508,4918.054389
7180.085229,4550.228324
7203.220484,4372.6158
7740.141792,4536.562733
8372.793024,4331.308547
8551.075867,4695.310638
8634.311009,4470.518952
8547.880834,4699.425209
8232.436155,4933.349198
7963.345227,5552.52632
7835.316389,5637.55652
7835.512749,5724.144021
7891.066175,5254.546086
8029.933131,4525.26524
8334.104206,3820.041629
8826.435538,3474.375374
9518.935164,3221.961642
9784.809408,3095.16849
9442.602491,3060.11204
8849.512026,3193.240266
8297.279891,3707.678297
7824.23989,4477.106498
7418.332697,4796.581479
7067.615927,4572.000228
6764.4506,4251.187698
6676.645359,4148.062695
6895.277884,4078.687695
7438.206194,3979.308503
7899.852237,4040.260629
8010.620277,4180.125203
8050.710278,4460.41898
7889.55136,4545.531467
7539.710649,5113.761249
7186.678593,5748.437172
6963.54995,6157.85864
6909.651448,6170.400302
6950.579106,5462.844009
7085.671846,4772.106491
7362.95616,4008.612702
7856.534799,3575.531418
8531.63982,3317.243894
8801.097979,3230.985564
8498.914376,3233.012237
7975.657498,3387.409392
7487.675812,3865.705937
7026.733606,4822.791476
6594.273276,5417.079842
6275.893347,4975.454409
6014.300993,5171.462754
5857.942722,5390.862756
5877.238105,5241.587753
6228.2116,4809.650222
6627.483792,4723.887744
6638.411407,4640.587734
6678.52085,4384.395215
6648.84134,4795.017726
6465.981495,5288.900237
6221.653551,5614.512747
6074.990451,5825.39403
6016.489572,5874.05652
6018.812698,5372.221094
6103.924424,4688.304408
6286.408589,4005.750185
6546.601146,3618.742178
6909.301205,3378.342497
7219.468591,3319.869168
7304.484318,3278.397749
7100.177819,3411.928821
6786.717649,3834.050603
6394.997532,4783.349985
6047.6473,5070.064218
5717.574613,4734.393969
5511.058092,4288.287678
5425.95747,4165.104381
5459.40135,3996.85853
5773.883244,3849.091883
6100.967627,3746.643528
6085.00252,3751.786107
6025.235945,3846.985562
5921.30076,4134.806429
5688.444219,4863.075239
5417.191644,5394.18357
5205.282416,5613.075293
5043.792518,5621.0544
4957.547421,5073.912722
4916.50097,4282.229367
4973.468259,3655.98977
5113.80691,3310.917591
5325.305812,3108.92927
5585.975345,3049.733064
5856.209727,3032.716509
6054.903221,3148.010556
6174.953833,3547.61267
6209.225676,4571.093991
6183.662061,5032.402338
6079.850651,4933.635654
5950.863902,4787.92211
5908.041374,4497.326259
5976.984388,4130.583515
6215.065595,3644.050179
6323.282375,3613.925162
6249.663413,3641.987669
6077.221684,3609.887655
5856.010602,3817.900179
5518.876788,4253.587667
5191.152064,4832.900243
5002.808773,5074.9961
4921.845908,5129.021081
4966.857113,4703.362689
5123.70576,4105.906724
5458.503868,3502.283198
6056.807179,3186.83139
6874.630268,2956.400142
7250.831557,2866.937037
7122.656597,2849.981351
6919.074857,2901.859529
6724.699503,3039.072639
6505.907734,3326.315759
6268.094832,3716.972049
6085.96336,3830.350181
5904.250985,3535.970993
5770.083307,3338.829321
5807.334269,3365.018922
6155.161226,3298.153278
6659.694227,3111.503268
6756.084897,3176.683493
6749.959217,3244.104308
6603.056811,3574.67049
6285.936444,4110.629873
5947.143286,4438.96271
5750.840302,4592.752731
5713.62452,4609.510193
5782.513484,4299.581469
5934.244111,3932.012688
6258.512542,3531.814757
6867.398659,3209.143487
7706.896413,3002.560947
7996.79973,2907.90513
7768.20133,2925.926682
7524.188223,3018.468594
7303.046166,3092.305145
7040.746792,3277.740464
6740.560228,3458.329856
6489.38255,3620.42099
6272.000982,3510.154334
6158.184673,3396.591822
6255.522468,3290.383479
6659.273707,3324.812648
7187.712242,3231.41265
7266.408444,3246.950165
7215.051788,3488.187668
6967.73843,3879.971027
6529.477382,4383.976905
6114.55236,4535.575215
5839.070433,4685.993798
5705.153829,4759.559145
5644.558196,4500.131501
5656.941907,4040.797074
5848.96715,3645.897057
6321.180389,3314.503475
7036.338783,3069.800969
7313.117437,2999.900126
7219.854034,2942.101635
7186.204948,2957.619686
7147.901196,3186.306158
7050.901842,3449.404622
6942.522979,3728.139471
6796.004972,4056.800178
6579.197335,3903.621011
6333.870044,3826.854353
6228.338182,3866.350178
6493.038998,3886.50954
6944.978548,3888.153305
6897.378891,3923.350176
6768.536864,4194.03146
6505.337233,4471.781457
6043.27258,5164.012751
5583.642607,5608.275267
5255.953907,5975.956538
5058.264246,5967.134057
4958.167938,5319.236213
4947.136264,4475.018015
5129.391649,3725.205105
5592.346017,3384.456497
6319.55155,3153.500607
6607.887993,3078.697835
6404.740383,3048.825162
6307.89061,3136.003271
6320.960401,3556.062662
6384.57228,4557.193983
6514.882015,4846.465385
6763.508786,4507.02251
7110.90354,4252.812695
7499.80758,4051.404372
8032.904126,3917.664776
8612.243156,4124.109599
9066.330078,4213.876254
9161.948617,4339.318085
9241.699936,4376.109437
9124.092391,4548.525221
8798.093749,5207.628387
8482.101255,5773.715928
8496.042733,6132.5378
8490.323014,6145.64613
8573.203887,5526.908865
8714.039239,4759.333274
9032.834924,4076.100191
9601.272034,3556.085892
10384.13597,3287.586342
10662.82671,3241.95563
10307.16215,3210.686526
9871.266636,3335.206538
9410.802383,3778.171706
8926.888533,4673.877312
8391.63549,4978.456514
7930.84992,4706.429373
7482.662887,4522.427255
7246.7108,4322.59709
7286.113962,4264.780032
7733.066597,4274.558937
8282.45281,4360.296062
8365.681739,4372.850243
8439.891944,4623.207707
8398.974091,4902.298112
8225.426617,5685.836565
8003.626681,6189.764892
7820.921452,6505.423229
7796.549802,6707.758701
7845.02185,6125.975256
7933.468559,5226.98774
8140.115001,4382.719866
8408.372954,3839.793041
8770.991992,3639.042158
9100.384302,3569.083881
9167.142706,3521.154623
8963.203258,3631.526258
8570.341576,4099.63977
8095.431038,4998.891905
7608.158322,5231.054412
7105.680965,5149.771101
6726.234591,4917.675236
6501.981114,4866.078974
6511.489316,4701.696465
6931.12944,4472.084562
7503.321923,4749.562754
7717.584976,5268.728763
7852.174158,5286.662393
7887.123776,5425.604414
7730.868701,6249.127379
7528.321654,6605.419079
7386.46713,6607.758644
7308.661659,6621.583671
7326.382659,5926.321109
7402.99156,5160.600233
7561.793673,4687.877277
7783.132403,4274.97312
8090.658611,4006.866047
8380.515029,3806.807217
8437.377109,3710.675873
8136.04908,3827.792942
7709.408744,4250.208843
7242.645111,5185.972103
6831.324733,5640.790863
6423.97059,5364.337751
6112.120116,4951.037738
5919.055183,4976.364066
5911.596077,5009.178887
6264.025299,4860.157734
6787.255038,4879.71026
6948.261333,4943.727765
7043.382489,4979.20901
6992.014822,5117.772942
6779.52414,5565.275058
6537.431114,5964.81486
6402.073583,5973.131121
6336.215125,5848.461105
6339.485626,5391.078351
6445.752653,4864.553379
6710.40854,4188.390813
7175.94805,3793.359956
7704.080058,3545.343512
8013.333209,3440.489052
7909.558182,3350.830509
7589.44373,3327.889677
7238.834581,3434.317985
6917.297871,3686.64027
6621.043026,4149.70505
6435.56348,4208.357852
6351.020144,4254.452285
6425.81714,4584.21896
6820.628956,4182.687662
7467.953012,4531.000218
7989.636962,4685.930222
8260.514687,4766.682714
8473.597194,4929.785651
8513.750069,4882.752314
8408.666682,5338.160243
8250.798257,5279.827725
8276.56287,5458.458594
8376.202022,5432.904452
8545.749009,5163.462737
8774.307576,4713.844272
9118.447256,4339.656165
9702.11334,4067.708543
10465.90077,3856.674504
10924.46656,3773.500133
11015.9147,3654.122456
10988.62471,3654.22212
10812.45888,3923.696234
10628.09122,4005.477344
10372.66764,4416.187704
10052.99021,4766.67105
9698.812781,5002.21689
9515.377721,4771.042727
9619.69061,4449.757724
10098.872,4154.500188
10702.65234,3663.29391
10866.31587,3535.360586
10841.29009,3706.221008
10650.89143,4084.904348
10234.75294,4771.668975
9961.101872,5145.364823
10189.04679,5601.894009
10199.43803,5439.915878
10272.88455,4866.28373
10433.62215,4173.282335
10781.09103,3471.102656
11335.20923,3094.805988
12034.89998,2877.291806
12215.55764,2875.72256
11752.70197,2850.625218
11110.35939,2980.369305
10470.51657,3479.501345
9862.810712,4532.949024
9335.076548,4876.746077
8838.200097,4424.575218
8431.533064,3792.271593
8220.507735,3586.647498
8363.354133,3593.321394
9028.74253,3662.568483
9909.800831,3450.254327
10204.66004,3523.412675
10323.11273,3618.800144
10168.18249,3891.764775
9792.228645,4596.856484
9479.838049,5241.291896
9213.550613,5560.387754
9248.477485,5449.066916
9351.538209,4798.721055
9521.452761,4013.543762
9842.237934,3400.685016
10383.18656,3131.497029
11162.07263,2928.754371
11356.48519,2812.416458
10823.34112,2791.686809
10126.21847,2948.558418
9507.563257,3471.117702
8904.43704,4523.179383
8353.40134,5027.258582
7918.086607,4406.365842
7695.782582,3881.93873
7721.130091,3762.125163
7969.429736,3708.125193
8410.893888,3727.49007
8875.1319,3607.918629
9006.0279,3656.085612
9081.092584,3796.593911
8898.302699,4151.866866
8474.021051,4838.071064
8046.422884,5262.312716
7658.960959,5681.006549
7495.633618,5576.220056
7417.244209,5044.77002
7371.980944,4426.106864
7532.23594,3735.427133
7950.16074,3334.733195
8639.625475,3145.248044
8789.816421,3095.181081
8499.917242,3072.299436
8273.79177,3233.636618
8019.466681,3683.805612
7638.449849,4650.367706
7269.202449,5204.85336
6971.288941,5201.051267
6726.918274,5321.65859
6636.969888,5533.069016
6694.4299,5177.912768
6935.453606,5127.062733
7176.828448,4608.375225
7025.857199,4617.08327
6904.710591,4499.365932
6673.989921,4185.495183
6322.15899,4649.862723
5907.637118,5172.328029
5584.849806,5611.897509
5349.274273,5452.600221
5202.444628,4840.43148
5142.232077,4140.396437
5178.46614,3515.354811
5317.735593,3127.567385
5571.304781,2913.667088
5831.998377,2776.783811
6033.765316,2788.734509
6122.229746,2931.064454
6016.809914,3402.621276
5811.043016,4400.915829
5613.237182,4840.737767
5431.427798,4409.846025
5304.386591,3764.651318
5230.327466,3406.979448
5248.312089,3323.225991
5373.358329,3320.900157
5664.808304,3171.790758
5641.197899,3292.237031
5555.282479,3452.978909
5431.16228,3661.423941
5181.39926,4378.235229
4859.065984,4955.980226
4631.67996,5393.780268
4431.840558,5302.775277
4300.310472,4707.43464
4237.57784,4075.309557
4240.563517,3493.956422
4303.37593,3113.999013
4459.691797,2869.950657
4649.9253,2765.424852
4901.182186,2824.76205
5117.547215,3071.926611
5272.91874,3559.30656
5376.551098,4402.218834
5423.049738,4742.462715
5404.746292,4203.4077
5357.065023,3531.617655
5324.355502,3189.802653
5348.75518,3154.410147
5568.216261,3169.037652
5846.710256,3251.318897
5869.000408,3325.881419
5733.620699,3423.96684
5467.608159,3595.996004
5073.683798,4206.55646
4705.505152,4623.634583
4493.264287,5046.609633
4401.28211,4810.906484
4437.088957,4317.727304
4583.399424,3786.548114
4890.774773,3405.746406
5517.878398,3099.686283
6470.936259,2851.491054
6922.33596,2745.317619
6777.785701,2765.6427
6652.330346,2798.313159
6569.989292,2957.160032
6411.41342,3330.462671
6244.54141,3718.781436
6089.687573,3922.53017
5943.807021,3765.832691
5827.019017,3328.281395
5861.944024,3256.284096
6204.463346,3266.10372
6766.786207,3233.687643
6901.460417,3314.85431
6894.875541,3548.583498
6748.3514,4154.406431
6393.505127,4590.881448
6074.18874,4817.433588
5938.950074,4849.935648
5941.052773,4629.509577
6014.554188,4376.327069
6175.732443,3934.386858
6513.962807,3600.25259
7180.028086,3410.36859
8060.154077,3172.364984
8390.734959,3070.693382
8033.788414,3102.783026
7579.690967,3166.412832
7177.190436,3292.714269
6798.57627,3509.357456
6469.19172,3830.975177
6183.686534,4319.875206
6010.023215,4466.325195
5869.703023,4307.287701
5921.489748,4294.775193
6200.098506,4189.381428
6767.228621,4144.406448
6966.623774,4239.825233
7045.604473,4503.158517
6958.021207,4915.15127
