A,B
6659.446472,5346.365897
6369.806564,5767.031528
6394.330209,5886.444021
6425.168732,5742.430289
6501.380898,5160.932748
6698.279449,4466.458539
7042.879738,3874.998089
7669.06532,3442.880022
8579.000491,3313.481903
8855.534566,3369.944969
8419.423888,3341.259831
7794.464282,3499.657851
7236.41258,3958.568504
6773.647559,5001.739395
6410.77906,5262.971054
6145.452793,5106.579393
5938.594015,4944.115856
5805.398304,4895.05023
5788.055672,4377.384578
6031.307085,4407.352266
6556.222399,4771.508348
6703.400799,4647.702467
6764.27434,4710.540218
6677.333838,4778.685221
6379.713283,5360.882754
6077.725116,5891.040669
5887.128321,6190.477395
5898.034239,6061.087772
5989.833018,5325.723578
6166.593808,4632.320648
6496.150864,3896.289768
7150.983175,3551.587662
8030.265805,3320.081768
8339.303011,3178.420487
7893.369433,3306.566144
7320.09739,3442.455909
6902.412299,4009.847313
6515.748384,4880.816873
6202.10812,5197.713798
5951.360089,4700.865846
5785.830072,4283.375198
5658.486872,4114.306446
5696.435784,3972.100196
5909.068818,3986.581427
6371.429867,3869.050181
6484.975963,4188.725225
6452.730454,4555.356453
6256.643633,4973.796482
5823.470483,5503.822775
5456.756374,5835.912786
5307.034584,6409.312793
5183.518378,6238.36191
5136.822476,5426.738669
5170.831287,4637.831474
5330.294783,3840.902841
5775.478689,3467.798079
6472.299946,3244.968039
6749.998908,3100.106675
6669.981053,3049.811252
6645.806969,3157.58456
6586.71054,3598.535891
6454.566526,4600.305557
6317.72258,4857.101156
6170.573106,4456.768949
6010.707544,4020.518934
5888.68509,3832.71893
5914.272082,3669.714252
6083.156615,3775.698641
6231.594914,3593.15229
6066.825157,3638.535587
5922.754536,3908.806449
5692.365436,4155.643977
5360.989433,4821.887738
4980.338611,5345.471085
4673.122494,5812.466939
4481.273952,5632.125287
4353.910567,5117.468984
4316.064311,4380.785639
4361.379377,3660.55227
4484.316609,3200.70819
4746.13561,2951.395239
5053.939289,2922.072006
5321.008274,2915.752221
5559.192626,3032.193891
5668.178693,3547.698086
5682.114349,4567.093974
5607.47182,4800.735638
5449.832183,4336.487714
5286.495704,3991.23768
5198.503971,3670.755972
5206.505111,3709.373078
5347.531072,3781.226208
5690.81294,4040.692898
5738.484794,4007.912682
5710.95379,3893.631444
5644.224727,4383.528545
5511.785617,4826.280234
5341.184128,5326.385688
5238.347613,5667.152388
5176.26104,5379.129408
5185.726776,4867.40648
5273.193131,4199.847072
5459.210046,3697.897709
5711.354824,3359.317364
6059.88104,3087.338529
6413.861113,3141.846776
6573.671865,3186.591005
6389.740074,3440.588919
6095.778524,4044.867707
5787.379918,4911.625214
5553.105582,5160.000245
5349.765381,5200.458602
5219.162723,5174.156505
5146.000732,5163.231503
5168.715619,4689.916895
5356.377016,4607.025243
5831.777765,4443.635922
5984.538647,4515.528227
5994.892088,4413.730206
5893.63975,4420.13145
5654.824907,4757.762741
5412.630137,5026.118993
5311.802149,5196.573162
5287.34905,4949.861061
5342.985784,4566.097704
5487.525552,4103.712693
5807.683214,3587.546148
6459.187658,3086.085414
7439.847004,2872.198074
7836.748631,2844.987624
7619.166018,2792.16738
7379.625381,2905.73705
7147.061116,3030.588693
6881.209632,3452.00121
6604.71903,3890.812691
6353.838698,4121.225726
6128.980705,3957.051753
5972.336477,3815.189775
6023.953459,3249.113699
6350.649193,3165.765779
6995.012766,3043.106397
7166.848738,3261.150165
7225.25682,3282.650163
7076.27515,3599.520195
6753.048085,4314.63959
6459.463799,4513.634588
6338.220733,4745.36273
6382.745317,4522.908552
6475.526565,4172.006136
6675.173619,3664.850466
6990.853071,3280.802531
7601.376254,3020.720687
8523.38908,2938.228268
8744.22067,2860.770233
8262.904563,2869.581086
7780.05038,2862.972552
7379.788897,2903.139822
6966.161459,3187.393254
6592.766299,3678.509526
6336.7545,3861.025181
6100.136598,3709.250178
5948.809933,3602.975163
5963.684018,3166.537667
6201.184232,3017.525147
6718.653787,2968.677218
6843.019161,2997.98555
6800.292552,3249.962655
6618.369699,3939.08769
6218.092569,4819.162731
5819.013917,5313.234644
5598.419098,5547.99717
5503.58995,5065.435685
5488.437084,4580.589822
5569.098177,3825.993912
5827.792386,3290.068892
6371.800656,2949.325809
7216.151003,2777.743746
7391.441991,2771.772857
7072.015778,2755.450716
6745.21063,2916.36747
6437.56519,3491.008997
6168.222658,4659.162738
5920.038161,4960.496066
5790.841074,4507.901925
5648.141838,3976.993292
5564.916682,3671.678291
5613.608684,3358.584542
5728.920924,3310.159521
6107.938501,3359.393267
6148.79164,3328.767857
6047.589472,3783.8322
5798.581422,4296.397989
5396.478082,4727.609591
4992.71107,5240.206511
4747.243601,5557.414833
4630.515277,5300.691905
4599.026272,4595.203359
4664.560346,4068.784575
4848.1351,3575.025179
5360.645826,3335.189748
6142.217772,3114.15494
6429.706477,2948.65478
6251.932124,2966.878634
6141.51568,3091.271397
6086.498508,3551.310794
5988.318289,4598.378336
5867.520398,4932.007739
5764.750199,4376.584377
5643.013414,4019.243525
5575.172563,3672.377676
5590.350121,3507.581421
5828.605434,3403.706415
6333.940654,3380.987669
6491.694981,3461.06268
6485.440588,3572.513693
6382.091121,3985.631295
6057.04408,4680.69305
5774.666549,5271.85023
5666.419891,5765.462793
5670.060404,5505.229445
5788.20046,4727.646048
5973.646455,3938.506446
6345.232318,3321.187643
6949.092848,3021.76472
7827.637159,2804.973042
8190.295519,2734.421472
8031.672254,2756.441282
7783.024043,2914.475666
7446.802993,3437.693379
7011.004041,4404.931461
6617.094109,4849.593981
6284.701192,4385.501079
6052.966841,3872.286801
5882.460154,3532.579347
5908.647932,3597.333503
6175.323649,3641.608515
6692.854628,3234.716817
6816.558232,3324.118913
6849.640972,3423.368928
6770.937984,3665.123931
6520.233101,4435.957709
6207.117529,5177.881478
5961.025737,5568.896063
5845.429937,5347.115555
5792.976787,4842.05477
5823.111606,4170.297072
5938.336412,3460.190184
6187.974135,3172.176827
6526.10996,2990.053113
6877.59063,2758.182291
7030.939341,2782.702526
7016.600416,2903.047035
6845.528241,3386.7116
6646.672798,4488.154373
6360.342202,4851.064817
6140.63546,4267.825206
5994.101993,3775.468916
5875.899632,3509.825186
5794.773168,3292.575155
5923.621399,3298.541819
6194.091964,3281.808491
6163.00594,3295.193022
6050.569645,3767.273387
5872.838437,4044.271617
5596.825476,4619.507535
5290.441336,5113.305471
5038.315522,5650.08152
4891.305694,5224.412742
4821.383182,4580.093949
4807.193799,3937.737678
4868.65302,3272.6564
4989.994052,2945.323893
5213.502057,2773.093152
5457.459314,2687.85629
5712.593777,2637.286902
5822.076234,2845.585926
5704.517319,3234.74424
5554.355615,4334.329346
5438.474072,4804.700258
5351.32241,4520.125205
5296.617783,4498.887725
5275.784558,4164.250206
5324.964997,3821.421446
5451.677153,3813.331023
5829.209279,3714.010583
6062.772726,4080.421617
6211.050627,4042.651265
6309.641327,4083.158966
6319.716611,4555.203962
6175.812909,4747.777691
6278.999541,4895.100233
6396.819616,4790.987712
6567.531649,4295.221862
6816.208071,3842.672274
7196.228141,3445.235588
7900.444444,3079.617849
8833.815122,2869.530671
9215.958364,2765.137643
8921.759308,2746.629515
8601.382032,2734.954566
8454.430385,2938.911386
8268.912173,3324.827658
8050.012376,3829.160903
7806.50559,4226.872811
7550.111471,4455.311897
7426.444268,4395.730202
7476.47744,4471.687716
7670.73983,4278.500198
7991.667153,4414.926878
7987.279517,4265.919975
7921.823027,4189.037103
7657.271177,4535.541903
7218.564757,4944.585932
6840.781091,5092.789484
6674.436292,5130.214859
6630.521519,4793.77314
6657.641851,4210.093941
6747.354868,3773.00643
6947.170241,3380.73767
7415.669985,3011.219312
8139.307806,2804.062217
8335.851827,2732.75282
8109.75857,2722.705784
8085.375534,2760.762363
8047.007948,2890.286481
7897.532553,3121.55087
7804.489383,3514.961276
7777.309591,4269.840201
7785.730238,4805.48523
7953.889787,4828.550243
8280.997704,4774.278369
8768.307878,4750.653344
9190.703519,4558.439807
9231.136139,4545.448139
9155.729326,4712.556479
8871.47934,4912.966889
8393.857764,5339.522139
7990.984471,5712.161697
7783.914338,5786.912777
7699.482673,5364.400241
7694.642639,4569.918983
7726.22756,3993.985593
7945.437793,3452.568483
8519.457001,3063.623106
9385.986643,2874.905648
9669.273456,2843.809004
9570.629941,2728.941005
9352.341656,2885.471243
8951.409983,3363.709635
8481.527297,4537.306443
8021.659296,4976.712746
7628.922226,5102.031497
7283.987552,5099.506457
7109.182043,4878.712731
7083.108487,4809.184965
7325.930631,4971.403008
7936.482301,4970.429802
8159.205387,4578.069153
8181.617113,4524.242741
8039.717622,4757.772753
7685.672353,5225.165256
7352.061666,5767.800291
7226.553748,5964.606551
7257.39544,5613.250274
7336.341482,4748.456486
7515.117873,4005.187701
7831.556468,3395.115338
8455.884499,3041.969328
9317.967426,2821.606568
9511.486898,2715.737445
8900.438991,2721.521991
8154.820338,2917.46096
7552.145451,3563.801832
7071.458032,4714.82522
6651.790406,5203.812725
6324.165121,5115.029426
6062.593283,4826.44922
5908.276241,4582.332515
5900.575403,4594.306463
6126.955589,4423.478004
6626.311707,4284.524525
6864.142837,3800.368946
6905.853699,3804.412662
6822.44221,4002.087699
6485.317003,4803.204399
6144.770237,5446.178907
5895.236043,5699.479964
5776.130467,5426.015909
5734.83108,4790.009631
5694.688472,4209.8627
5822.00593,3554.859842
6218.387839,3173.835476
6865.565393,2922.378066
7055.966496,2841.348479
6809.90508,2842.286034
6554.462198,2887.376343
6397.758603,3426.641822
6264.299081,4512.450201
6063.353925,5022.396056
5847.20749,4696.229391
5682.317491,4456.741884
5578.052092,4123.971027
5567.651214,3694.266849
5660.105497,3551.31476
5954.442667,3594.418922
5953.545882,3766.156427
5831.107976,3907.318908
5644.769956,4027.156464
5347.519096,4675.343976
4981.22732,5456.119025
4718.545192,5928.525269
4560.89677,5510.518988
4470.067493,4848.840834
4446.401183,4151.422061
4521.54802,3452.070983
4752.73851,3059.573688
5225.243831,2828.377859
5796.971328,2747.353046
6347.892729,2782.019576
6997.4581,2934.442565
7440.281312,3472.392986
7728.214048,4611.383018
7881.375,5033.621073
7916.64367,4513.741875
7959.441483,3780.412698
8049.152926,3499.456431
8198.364528,3408.350159
8378.8522,3368.148383
8642.525207,3251.967273
8640.657884,3352.094801
8553.52634,3498.316829
8394.221452,3856.571036
8123.08621,4611.112724
7922.427785,5315.612766
7792.089501,5610.587763
7759.785752,5322.646079
7771.99309,4624.566869
7892.760308,3980.431862
8080.394271,3335.856585
8312.478082,3000.245949
8662.294095,2772.843749
8932.327172,2730.299742
9191.21656,2718.083027
9344.523614,2949.398018
9415.517479,3503.346408
9267.264146,4423.846043
8856.583802,4918.299524
8305.976837,4514.041521
7819.741968,3953.082065
7466.749683,3545.340159
7430.112015,3356.73015
7700.336327,3260.968484
8265.923099,3179.941097
8493.50216,3197.215038
8530.351477,3329.8085
8397.751358,3560.536422
8048.527058,4277.201463
7720.553828,4767.962735
7644.691249,5021.13776
7635.730493,4896.081492
7719.929862,4506.743979
7849.05297,3931.812684
8134.908552,3453.600167
8734.16878,3112.98515
9575.602779,2821.02555
9823.387589,2706.793883
9554.738839,2658.672404
9368.096256,2728.19868
9171.10258,2857.468896
8771.374717,3176.296184
8212.33159,3669.010407
7696.293871,4108.300196
7275.702134,4088.223104
6973.44084,3861.597789
6949.731504,3906.879639
7256.755681,4056.92103
7907.583386,3988.825193
8116.31758,4069.016853
8118.411583,4103.631441
7901.27653,4565.118965
7458.033013,4861.306461
7004.248739,5273.575265
6666.466399,4977.543989
6534.885655,4631.491896
6466.830279,4323.68354
6491.492408,3908.916852
6656.181121,3492.796011
7148.715376,3054.668799
7918.159743,2827.612284
8113.888003,2748.8735
7945.863988,2775.181677
7868.290499,2866.319193
7819.610062,3006.483618
7688.939939,3274.439019
7485.060388,3744.835601
7315.900262,4300.529376
7162.946686,4589.849205
7108.08328,4362.972087
7241.533488,4112.200188
7507.847971,4040.88768
7810.17782,4217.554382
7812.056761,4480.347824
7663.707507,4712.715926
7354.657155,5142.632763
6851.230362,5688.769008
6389.563097,5867.984324
6095.129156,5749.303755
5907.394256,5274.635661
5823.995025,4655.081474
5818.726176,4022.798112
5992.294426,3356.365422
6448.89607,2970.011525
7181.959242,2773.972512
7299.306873,2720.250705
7055.960652,2687.594721
6875.495553,2881.233395
6712.151428,3388.321505
6432.222654,4396.761809
6122.20644,5095.475244
5947.292286,5214.815238
5809.358277,4868.791481
5745.877482,4521.991863
5764.491031,4306.629381
5813.094717,4231.154375
6096.524967,3645.893912
6169.975006,3421.923831
6042.394048,3478.557749
5784.86981,3870.468947
5357.7739,4721.07524
4897.718732,5610.36431
4607.366527,5795.559135
4414.413022,5513.551121
4297.43621,4891.162437
4285.046648,4211.30802
4387.160498,3613.078743
4771.889339,3236.402835
5447.96755,2975.016074
5711.621151,2871.115475
5701.551445,2892.758874
5738.494379,3081.118877
5816.398198,3602.301839
5849.13893,4552.721063
5864.25201,5024.365856
5880.165584,4492.822065
5860.788237,3832.7868
5873.69122,3473.351888
5867.838189,3379.088913
5911.680413,3289.410573
6178.153516,3084.092334
6281.195156,3204.807956
6156.203314,3351.637668
5889.639471,3765.042671
5428.564598,4685.851443
4966.40267,5305.818989
4612.66783,5470.375227
4388.556894,5149.220549
4273.598172,4488.029907
4235.386911,3796.462694
4344.375334,3177.06264
4668.29453,2934.066213
5312.961638,2734.576539
5629.425814,2682.723701
5687.795664,2632.489053
5798.152886,2810.239317
5839.069329,3381.987239
5827.707846,4183.234565
5792.570645,4681.005434
5727.559037,4647.666903
5679.229545,4090.212698
5626.723945,3631.514352
5685.048026,3214.694325
5906.897241,3261.385584
6272.777096,2936.500133
6333.478159,3016.2189
6274.964719,3200.750144
6132.526571,3701.631423
5865.201724,4587.956472
5551.846262,5244.512766
5283.3007,5431.925277
5147.617075,5233.362746
5067.86287,4544.600202
5108.594284,3975.143939
5269.757028,3406.666827
5474.257671,3017.768306
5781.634732,2749.892675
6164.243722,2604.162339
6482.843931,2584.429298
6709.411313,2885.665959
6664.807292,3409.5699
6320.763042,4421.577134
5981.476704,4856.525238
5661.560536,4732.637717
5394.120389,4501.550219
5253.394281,4226.318939
5214.210574,4415.220729
5275.405901,4952.452608
5586.479083,4938.837711
5675.427817,5019.858561
5630.769291,4719.525224
5534.715107,5036.396048
5375.86036,5157.179378
5154.666112,5530.475262
5013.203476,5770.637771
4918.742417,5416.637744
4878.531583,4772.820213
4915.061916,4049.548935
5006.804707,3309.035565
5147.546403,2946.933477
5406.09803,2741.317637
5662.853744,2704.266009
5937.188482,2808.819848
6104.908389,3017.357591
6133.64714,3535.459589
6120.85087,4438.363542
6146.130554,5012.208588
6162.145356,4795.989785
